name,mes,maxC,minC,rocioC,hum_rel,velo_vien_kph,vien_grad_sex,nubosidad%,radiac_solar_watios_m2,energ_solar_MJ_m2,clase hoy,clase manana
Lima,1,26,19.9,18.7,80.5,24.1,171,69.8,305.6,26.3,parcialmente nublado,parcialmente nublado
Lima,1,27,21.1,19.4,78.1,22.3,169.3,79.8,259.1,22.4,parcialmente nublado,parcialmente nublado
Lima,1,27,22,19.4,76,20.5,175,82.9,212.8,18.4,parcialmente nublado,parcialmente nublado
Lima,1,27.7,21.8,19.6,77.1,16.6,179.4,82.5,259.3,22.4,parcialmente nublado,parcialmente nublado
Lima,1,28,21,19.4,78.1,38.9,170.3,60.6,277.3,24,parcialmente nublado,parcialmente nublado
Lima,1,26,20,19.6,84.1,24.1,170.3,74.1,299.9,26,parcialmente nublado,parcialmente nublado
Lima,2,26.7,21,19.1,80.3,20.5,177.6,71.5,296.8,25.6,parcialmente nublado,parcialmente nublado
Lima,2,26.7,21,19.2,77.6,22.3,175.5,72,256.6,22.1,parcialmente nublado,parcialmente nublado
Lima,2,26,20.7,19.4,79.9,27.7,168.6,78.3,260,22.4,parcialmente nublado,parcialmente nublado
Lima,2,28,21,19.7,78.7,16.6,195,74.2,179.7,15.5,parcialmente nublado,parcialmente nublado
Lima,2,29,21,19.2,77.3,20.5,193.6,70,281,24.1,parcialmente nublado,parcialmente nublado
Lima,2,28,22.8,19.5,75.3,14.8,180.4,81.3,209.3,18.1,parcialmente nublado,parcialmente nublado
Lima,2,29,21.9,19.7,76.2,16.6,182.8,80.7,284.8,24.6,parcialmente nublado,parcialmente nublado
Lima,2,28,22,20.9,81.4,14.8,185.4,80.2,220.6,19,parcialmente nublado,parcialmente nublado
Lima,2,29,21,19.7,77,14.8,184.4,63.6,274.5,23.9,parcialmente nublado,parcialmente nublado
Lima,2,25.8,20.8,20.1,84.8,24.1,171.2,66.3,170.8,14.8,parcialmente nublado,parcialmente nublado
Lima,2,27,20.2,20.1,82.6,24.1,171.3,81.3,147.3,12.8,parcialmente nublado,parcialmente nublado
Lima,2,26,21,20.2,83.6,24.1,169,85.4,229.4,19.7,parcialmente nublado,parcialmente nublado
Lima,2,27,21.9,20.2,82.7,24.1,179.6,68.6,317,27.4,parcialmente nublado,parcialmente nublado
Lima,2,25.1,21,19.9,83.7,13,193.2,86.7,203.2,17.5,parcialmente nublado,parcialmente nublado
Lima,2,26.9,19,19.1,83.5,11.2,213.3,65.6,326.6,28.3,parcialmente nublado,parcialmente nublado
Lima,2,28,20,19.2,78.7,16.6,196.3,52.3,328.3,28.5,parcialmente nublado,parcialmente nublado
Lima,2,26,20,18.7,78.7,24.1,175.2,67.4,262.4,22.6,parcialmente nublado,parcialmente nublado
Lima,2,25,19.9,18.6,82.4,13,201.8,78.5,221.2,19.2,parcialmente nublado,parcialmente nublado
Lima,2,27,19,18.2,78.7,16.6,190.1,48.5,237.4,20.6,parcialmente nublado,parcialmente nublado
Lima,2,26,18.9,17.8,78.4,16.6,182.1,63.2,316.2,27.4,parcialmente nublado,parcialmente nublado
Lima,2,26.2,19,17.8,78.4,16.6,191,57.6,316.1,27.3,parcialmente nublado,parcialmente nublado
Lima,2,27.1,20,18.1,79.3,14.8,191.6,79,250,21.6,parcialmente nublado,parcialmente nublado
Lima,2,25,19,18,79.7,13,204.6,68.8,299.1,25.9,parcialmente nublado,parcialmente nublado
Lima,2,28,19,18.1,73.3,20.5,186.8,74.4,304.3,26.3,parcialmente nublado,parcialmente nublado
Lima,2,30,21.9,18.2,67.7,18.4,178.5,72.4,257.2,22.1,parcialmente nublado,parcialmente nublado
Lima,2,29,21,18.7,73.1,18.4,176.8,58.8,320.5,27.6,parcialmente nublado,parcialmente nublado
Lima,2,25,19,18.5,86.2,18.4,178.7,73.7,251.3,21.6,parcialmente nublado,parcialmente nublado
Lima,2,23,18.7,18.4,88.6,13,261,94.8,309.9,26.8,nublado,parcialmente nublado
Lima,3,22,18,18,90.7,16.6,308.5,98,335.5,28.8,nublado,nublado
Lima,3,23,18,18.2,89.2,13,277.7,78.3,330.4,28.4,parcialmente nublado,nublado
Lima,3,27,19.2,17.5,72.6,9.4,251.6,69,304.2,26.3,parcialmente nublado,parcialmente nublado
Lima,3,28,21.8,17.6,67,11.2,231.4,59.1,272,23.5,parcialmente nublado,parcialmente nublado
Lima,3,28,20.9,18.6,74.1,16.6,186.1,72.9,292.3,25.1,parcialmente nublado,parcialmente nublado
Lima,3,26,20,18.4,79.1,13,199.3,77.8,255.7,22,parcialmente nublado,parcialmente nublado
Lima,3,27,19,18.5,79.8,14.8,205.4,51,312.6,27,parcialmente nublado,parcialmente nublado
Lima,3,26,19,18.6,80.1,14.8,196.1,52.3,202.5,17.6,parcialmente nublado,parcialmente nublado
Lima,3,27,19,18.2,79,13,203.8,62.3,272.2,23.5,parcialmente nublado,parcialmente nublado
Lima,3,27,20.2,18.6,77,11.2,240.6,70.5,307.9,26.5,parcialmente nublado,parcialmente nublado
Lima,3,27,21,18.4,76.7,11.2,235.7,70.6,231.2,19.8,parcialmente nublado,parcialmente nublado
Lima,3,27.1,19.8,18.5,76.7,16.6,190.9,56,253,21.8,parcialmente nublado,parcialmente nublado
Lima,3,23.7,20,18.5,81.7,16.6,251.5,78.4,258.4,22.2,parcialmente nublado,parcialmente nublado
Lima,3,25.8,19,18.5,80.6,11.2,234.1,66.8,309.9,26.8,parcialmente nublado,parcialmente nublado
Lima,3,25,19,18.2,81.6,16.6,185.1,64.1,305.4,26.3,parcialmente nublado,parcialmente nublado
Lima,3,23.8,18,17.7,87.1,13,213.7,62.8,283,24.5,parcialmente nublado,parcialmente nublado
Lima,3,22,18,17.3,85.4,18.4,299,73.8,271,23.3,parcialmente nublado,parcialmente nublado
Lima,3,22.1,18,17.5,85.1,14.8,272.9,74.9,290.9,25,parcialmente nublado,parcialmente nublado
Lima,3,23.1,16.9,17.7,86.4,14.8,265.5,83.8,185.4,16,parcialmente nublado,parcialmente nublado
Lima,3,24,19,18.4,83.8,14.8,266.1,77.1,184.7,15.9,parcialmente nublado,parcialmente nublado
Lima,3,28,19.8,18.2,78.2,16.6,220.2,77.9,270.3,23.3,parcialmente nublado,parcialmente nublado
Lima,3,25,19.1,18.1,80.4,16.6,182.2,60.9,252.3,21.8,parcialmente nublado,parcialmente nublado
Lima,3,25,18.9,18.1,84.2,20.5,178.3,62.3,169.1,14.7,parcialmente nublado,parcialmente nublado
Lima,3,26,19,17.7,81.8,14.8,185.7,83.3,251.1,21.6,parcialmente nublado,parcialmente nublado
Lima,3,25,19,18.1,83.6,24.1,174.6,70.4,243.2,21,parcialmente nublado,parcialmente nublado
Lima,3,24,18,17.6,83.9,20.7,177.9,65.3,263.9,22.9,parcialmente nublado,parcialmente nublado
Lima,3,22,18,17.5,88.3,16.6,202.6,90.6,228.8,19.8,nublado,parcialmente nublado
Lima,3,20.8,17,17,89.5,18.4,297.2,78.4,245.6,21.3,parcialmente nublado,nublado
Lima,3,24,17,17.1,87.1,14.8,198.5,78.6,286,24.6,parcialmente nublado,parcialmente nublado
Lima,3,21,16.9,16.9,90.6,11.2,242.2,86.5,264.1,22.7,lluvioso,parcialmente nublado
