inst#,actual,predicted,error,prediction
1269,3:nublado,3:nublado,,0.9
1270,2:parcialmente_nublado,2:parcialmente_nublado,,0.6
1271,2:parcialmente_nublado,2:parcialmente_nublado,,0.85
1272,3:nublado,3:nublado,,0.56
1273,3:nublado,3:nublado,,0.86
1274,3:nublado,3:nublado,,0.8
1275,1:lluvioso,1:lluvioso,,0.9
1276,2:parcialmente_nublado,1:lluvioso,+,0.52
1277,1:lluvioso,1:lluvioso,,0.66
1278,3:nublado,3:nublado,,0.64
1279,3:nublado,3:nublado,,0.68
1280,1:lluvioso,2:parcialmente_nublado,+,0.57
1281,3:nublado,3:nublado,,0.52
1282,1:lluvioso,1:lluvioso,,0.81
1283,3:nublado,2:parcialmente_nublado,+,0.51
1284,2:parcialmente_nublado,2:parcialmente_nublado,,0.54

